source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
285,afl-player-v1-ebdf837d2a23b1282f44,matt-owies,Matt Owies,Free agents,G-FWD,matched,Matt Owies,Carlton,G-FWD,"{""birth_date"":""1997-03-19"",""birth_year"":1997,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2018,""legacy_key"":""matt-owies""}",draft_pick,True,
582,afl-player-v1-716f1eabdf51d799d667,milan-murdock,Milan Murdock,Richmond Tigers,"MID,G-FWD",matched,Milan Murdock,West Coast,G-FWD,"{""birth_date"":""2000-06-30"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""milan-murdock""}",draft_pick,True,
534,afl-player-v1-f07600e2849bc4a2ed87,mitch-zadow,Mitch Zadow,Port Adelaide Power,G-FWD,matched,Mitch Zadow,Port Adelaide,G-FWD,"{""birth_date"":""2004-03-11"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""mitch-zadow""}",draft_pick,True,
105,afl-player-v1-7ba5a1ae80798c88d4a4,mykelti-lefau,Mykelti Lefau,Carlton Blues,"G-FWD,K-FWD",matched,Mykelti Lefau,Richmond,K-FWD,"{""birth_date"":""1998-06-22"",""birth_year"":1998,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2023,""legacy_key"":""mykelti-lefau""}",draft_pick,True,
793,afl-player-v1-ec3f691537531ffedcf2,nathan-wardius,Nathan Wardius,Western Bulldogs,G-FWD,matched,Nathan Wardius,GWS,G-FWD,"{""birth_date"":""2004-10-12"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2023,""legacy_key"":""nathan-wardius""}",draft_pick,False,no_current_or_historical_scoring_games+no_recent_activity_signal+not_recent_unplayed_draftee
580,afl-player-v1-7e55cca73bb1024b34e5,ned-reeves,Ned Reeves,Richmond Tigers,RUCK,matched,Ned Reeves,Hawthorn,RUCK,"{""birth_date"":""1998-10-31"",""birth_year"":1998,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2018,""legacy_key"":""ned-reeves""}",draft_pick,True,
455,afl-player-v1-289911b71c417a06fb30,nicholas-martin,Nicholas Martin,Melbourne Demons,"MID,G-FWD",matched,Nicholas Martin,Essendon,MID,"{""birth_date"":""2001-04-03"",""birth_year"":2001,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2021,""legacy_key"":""nicholas-martin""}",draft_pick,True,
413,afl-player-v1-1abf46c80f3799c0d483,nick-madden,Nick Madden,Hawthorn Hawks,RUCK,matched,Nick Madden,GWS,RUCK,"{""birth_date"":""2004-05-17"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2022,""legacy_key"":""nick-madden""}",draft_pick,True,
342,afl-player-v1-f454cdc57bca55f25e29,nick-murray,Nick Murray,Fremantle Dockers,"G-DEF,K-DEF",matched,Nick Murray,Adelaide,K-DEF,"{""birth_date"":""2000-12-18"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2020,""legacy_key"":""nick-murray""}",draft_pick,True,
666,afl-player-v1-fc6ac46f92c3b7b16ed5,noah-chamberlain,Noah Chamberlain,St Kilda Saints,"G-FWD,K-FWD",matched,Noah Chamberlain,Sydney,G-FWD,"{""birth_date"":""2007-03-21"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2025,""legacy_key"":""noah-chamberlain""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
