Player Name,AFFL Team,Position/s
Ollie Dempsey,Geelong Cats,MID
Massimo D'Ambrosio,Geelong Cats,MID
Jake Lloyd,Geelong Cats,"MID,G-FWD"
Rhys Stanley,Geelong Cats,RUCK
Callum Ah Chee,Geelong Cats,G-FWD
Darcy Gardiner,Geelong Cats,"G-DEF,K-FWD"
Tom Papley,Geelong Cats,G-FWD
Luke McDonald,Geelong Cats,G-DEF
Aidan Corr,Geelong Cats,"G-DEF,K-DEF"
Tom McDonald,Geelong Cats,"G-DEF,K-DEF"
Jacob Wehr,Geelong Cats,"G-DEF,MID"
Adam Saad,Geelong Cats,G-DEF
Mitch McGovern,Geelong Cats,"G-DEF,G-FWD"
Jack Henry,Geelong Cats,"G-DEF,K-DEF"
Josh Dunkley,Geelong Cats,MID
Jack Higgins,Geelong Cats,G-FWD
Jhye Clark,Geelong Cats,"MID,G-FWD"
Zak Butters,Geelong Cats,MID
Taylor Walker,Geelong Cats,"G-FWD,K-FWD"
Riley Onley,Geelong Cats,MID
Mark Blicavs,Geelong Cats,"RUCK,MID"
Jade Gresham,Geelong Cats,G-FWD
Cameron Rayner,Geelong Cats,G-FWD
Touk Miller,Geelong Cats,"MID,G-FWD"
Liam Stocker,Free Agents,G-DEF
Shannon Neale,Geelong Cats,"G-FWD,K-FWD"
James Sicily,Geelong Cats,G-DEF
Bayley Fritsch,Geelong Cats,G-FWD
Zach Guthrie,Geelong Cats,G-DEF
Bradley Close,Geelong Cats,G-FWD
Mason Cox,Geelong Cats,"RUCK,G-FWD,K-FWD"
Alex Pearce,Geelong Cats,"G-DEF,K-DEF"
Jason Horne-Francis,Geelong Cats,"MID,G-FWD"
Brodie Kemp,Geelong Cats,"G-FWD,K-FWD"
Izak Rankine,Geelong Cats,"MID,G-FWD"
Bailey Dale,Geelong Cats,G-DEF
Harrison Petty,Geelong Cats,"G-FWD,K-FWD,G-DEF,K-DEF"
Sam De Koning,Geelong Cats,"G-DEF,K-DEF"
Oisin Mullin,Geelong Cats,"G-DEF,MID"
Bailey Smith,Geelong Cats,MID
Lawson Humphries,Geelong Cats,G-DEF
Max Holmes,Geelong Cats,MID
Andrew McGrath,Geelong Cats,G-DEF
Jesse Mellor,Geelong Cats,SF
Finlay Macrae,Geelong Cats,"SF,MID"
Finnbar Maley,Geelong Cats,K-FWD
Will Graham,Hawthorn Hawks,"G-FWD,MID"
Lachlan Carmichael,Hawthorn Hawks,"G-DEF,MID"
Max Ramsden,Hawthorn Hawks,"G-FWD,K-FWD"
Cameron Nairn,Hawthorn Hawks,"MID,G-FWD"
Cody Angove,Hawthorn Hawks,G-FWD
Charlie Nicholls,Hawthorn Hawks,"G-FWD,K-FWD"
Josh Dolan,Hawthorn Hawks,G-FWD
Jaxon Artemis,Hawthorn Hawks,G-DEF
Indy Cotton,Hawthorn Hawks,G-FWD
Mitch Podhajski,Hawthorn Hawks,"G-FWD,K-FWD"
Tai Hayes,Hawthorn Hawks,"MID,G-FWD"
Matthew LeRay,Hawthorn Hawks,MID
Zach Reid,Hawthorn Hawks,"G-DEF,K-DEF"
Darcy Wilmot,Hawthorn Hawks,G-DEF
Joel Cochran,Hawthorn Hawks,G-DEF
Harry Armstrong,Hawthorn Hawks,"G-FWD,K-FWD"
Eamonn Armstrong,Hawthorn Hawks,G-DEF
Lance Collard,Hawthorn Hawks,G-FWD
Nick Madden,Hawthorn Hawks,RUCK
Phoenix Gothard,Hawthorn Hawks,G-FWD
Harry Dean,Hawthorn Hawks,"G-DEF,K-DEF"
Dylan Moore,Hawthorn Hawks,G-FWD
Jordan Croft,Hawthorn Hawks,"G-FWD,K-FWD"
Ollie Greeves,Hawthorn Hawks,MID
Mitchell Marsh,Hawthorn Hawks,"G-FWD,K-FWD"
Max Kondogiannis,Hawthorn Hawks,G-DEF
Henry Smith,Hawthorn Hawks,"G-FWD,K-FWD"
Harrison Oliver,Hawthorn Hawks,G-DEF
Tew Jiath,Hawthorn Hawks,G-DEF
Ryan Angwin,Hawthorn Hawks,MID
Oskar Taylor,Hawthorn Hawks,G-DEF
Taj Hotton,Hawthorn Hawks,G-FWD
James Leake,Hawthorn Hawks,"G-DEF,G-FWD"
Patrick Snell,Hawthorn Hawks,"G-DEF,G-FWD,K-FWD,K-DEF"
Kye Fincher,Hawthorn Hawks,"G-DEF,MID"
William McCabe,Hawthorn Hawks,"G-DEF,K-DEF"
Hunter Clark,Hawthorn Hawks,MID
Max King,Hawthorn Hawks,"K-FWD,G-FWD"
Josh Goater,Hawthorn Hawks,G-DEF
Isaac Keeler,Hawthorn Hawks,"G-FWD,K-FWD"
Alex Dodson,Hawthorn Hawks,K-FWD
Kobe McDonald,Hawthorn Hawks,G-DEF
Charlie Edwards,Hawthorn Hawks,"G-DEF,MID"
Hugh Davies,Hawthorn Hawks,"G-DEF,K-DEF"
Thomas Sims,Hawthorn Hawks,"G-FWD,K-FWD"
Archie Perkins,Melbourne Demons,G-FWD
Tom McCarthy,Melbourne Demons,G-DEF
Lucca Grego,Melbourne Demons,G-DEF
Luke Urquhart,Melbourne Demons,MID
Jed Walter,Melbourne Demons,"G-FWD,K-FWD"
Elijah Hewett,Melbourne Demons,MID
Jed Adams,Melbourne Demons,"G-DEF,K-DEF"
Sid Draper,Melbourne Demons,"MID,G-FWD"
Oliver Hannaford,Melbourne Demons,MID
Riley Thilthorpe,Melbourne Demons,"G-FWD,K-FWD"
Keidean Coleman,Melbourne Demons,G-DEF
Elijah Tsatas,Melbourne Demons,MID
Archer Reid,Melbourne Demons,"G-FWD,K-FWD"
Liam Ryan,Melbourne Demons,G-FWD
Jake Rogers,Melbourne Demons,G-FWD
Nicholas Martin,Melbourne Demons,"MID,G-FWD"
Hugh Boxshall,Melbourne Demons,MID
Tyler Brockman,Free Agents,G-FWD
Sam Cumming,Carlton Blues,MID
Thomas Matthews,Melbourne Demons,G-FWD
Jack Williams,Melbourne Demons,"G-FWD,K-FWD"
Caleb May,Melbourne Demons,RUCK
Bo Allan,Melbourne Demons,"G-DEF,MID"
Tobie Travaglia,Melbourne Demons,"G-DEF,MID"
Malcolm Rosas,Melbourne Demons,G-FWD
Toby McMullin,Melbourne Demons,MID
Deven Robertson,Melbourne Demons,"G-FWD,MID"
Avery Thomas,Melbourne Demons,G-DEF
Reuben Ginbey,Melbourne Demons,G-DEF
Lachie Jaques,Melbourne Demons,G-DEF
Harvey Johnston,Melbourne Demons,G-DEF
Finn Callaghan,Melbourne Demons,MID
Lachlan Ash,Melbourne Demons,G-DEF
Noah Mraz,Melbourne Demons,"G-DEF,K-DEF"
Oscar Adams,Melbourne Demons,"G-DEF,K-DEF"
Corey Warner,Melbourne Demons,"MID,G-FWD"
Jack Hutchinson,Melbourne Demons,MID
Harley Reid,Melbourne Demons,MID
Jacob Newton,Melbourne Demons,G-FWD
Brandon Starcevich,Melbourne Demons,G-DEF
Malakai Champion,Melbourne Demons,G-FWD
Tyler Welsh,Melbourne Demons,"G-FWD,K-FWD"
Tom Gross,Melbourne Demons,"MID,G-FWD"
Tyrell Dewar,Melbourne Demons,"G-DEF,MID"
Charlie Banfield,Melbourne Demons,"MID,G-FWD"
Daniel Curtin,Melbourne Demons,MID
Mitchell Lewis,North Melbourne Kangaroos,"G-FWD,K-FWD"
Scott Pendlebury,North Melbourne Kangaroos,MID
Clayton Oliver,North Melbourne Kangaroos,MID
Brayden Maynard,North Melbourne Kangaroos,G-DEF
Bruce Reville,North Melbourne Kangaroos,MID
Brayden Cook,North Melbourne Kangaroos,"MID,G-FWD"
Angus Anderson,North Melbourne Kangaroos,MID
Mani Liddy,North Melbourne Kangaroos,MID
Connor Idun,North Melbourne Kangaroos,G-DEF
Jack Ginnivan,North Melbourne Kangaroos,G-FWD
Jeremy Cameron,North Melbourne Kangaroos,"G-FWD,K-FWD"
Mitch Georgiades,North Melbourne Kangaroos,"G-FWD,K-FWD"
Jackson Mead,North Melbourne Kangaroos,MID
Harry Charleson,North Melbourne Kangaroos,"G-DEF,MID"
Roan Steele,North Melbourne Kangaroos,MID
Toby Greene,North Melbourne Kangaroos,"G-FWD,MID"
Jack Crisp,North Melbourne Kangaroos,MID
Karl Worner,North Melbourne Kangaroos,G-DEF
Ben Murphy,North Melbourne Kangaroos,G-DEF
Jai Serong,North Melbourne Kangaroos,"G-DEF,K-DEF"
Jack Darling,North Melbourne Kangaroos,"G-FWD,K-FWD"
Zac Bailey,North Melbourne Kangaroos,"MID,G-FWD"
Luke Kennedy,North Melbourne Kangaroos,MID
Chad Warner,North Melbourne Kangaroos,"MID,G-FWD"
Jordan de Goey,North Melbourne Kangaroos,"MID,G-FWD"
Luke Parker,North Melbourne Kangaroos,"MID,G-DEF"
Isaac Cumming,North Melbourne Kangaroos,MID
Sam Taylor,North Melbourne Kangaroos,"G-DEF,K-DEF"
