Player Name,AFFL Team,Position/s
Sam Draper,North Melbourne Kangaroos,"RUCK,G-FWD,K-FWD"
Matt Duffy,North Melbourne Kangaroos,"G-DEF,K-DEF"
Jack Viney,North Melbourne Kangaroos,MID
Rhylee West,North Melbourne Kangaroos,G-FWD
Saad El-Hawli,North Melbourne Kangaroos,MID
Xavier Duursma,North Melbourne Kangaroos,MID
Aliir Aliir,North Melbourne Kangaroos,"G-DEF,K-DEF"
Lachie Whitfield,North Melbourne Kangaroos,G-DEF
Max Gawn,North Melbourne Kangaroos,RUCK
Elliot Yeo,North Melbourne Kangaroos,"MID,G-FWD"
Joe Pike,North Melbourne Kangaroos,RUCK
James Barrat,North Melbourne Kangaroos,"G-DEF,G-FWD,K-FWD,K-DEF"
Rory Laird,North Melbourne Kangaroos,G-DEF
Callum Wilkie,North Melbourne Kangaroos,"G-DEF,K-DEF"
Reef McInnes,North Melbourne Kangaroos,"G-DEF,K-DEF"
Joel Jeffrey,North Melbourne Kangaroos,G-DEF
Nick Daicos,North Melbourne Kangaroos,MID
Liam Puncher,North Melbourne Kangaroos,K-DEF
Patrick Cripps,Port Adelaide Power,MID
Jack Steele,Port Adelaide Power,MID
