vnext_rank,key,player,position_forecast,position_utility,pick,tenure,age,five_year_utility_mean,five_year_utility_median,five_year_utility_p10,five_year_utility_p90,expected_games_5y_mc,expected_points_5y_mc,p_zero_meaningful_5y,p_90_any_5y_mc,p_100_any_5y_mc,p_110_any_5y_mc,exp_90_seasons_5y_mc,exp_100_seasons_5y_mc,exp_110_seasons_5y_mc,future_value_y1_mean,future_value_y2_mean,future_value_y1_p10,future_value_y1_p90,future_value_y2_p10,future_value_y2_p90
58,max-hall,Max Hall,FWD,FWD,4.0,2,24.0,626.3812253422984,529.0518161704572,65.17714127310981,1318.0868486066745,73.785,5490.1059443534405,0.01,0.44333333333333336,0.20666666666666667,0.058333333333333334,0.6816666666666666,0.25333333333333335,0.06,177.28731478172705,154.0238576552713,0.039847494119200584,479.3248163592929,0.014564407717233422,422.0056516257615
59,jordan-clark,Jordan Clark,DEF,DEF,15.0,8,26.0,623.0012758693126,565.3879148592099,63.73512731263711,1250.1760100501572,72.83833333333334,5865.6265853253735,0.008333333333333333,0.64,0.35333333333333333,0.095,1.1566666666666667,0.4583333333333333,0.10333333333333333,246.04765168528354,167.4467393608392,0.270419943460477,597.1359060032083,0.0009541476261648635,450.67098170425515
60,joshua-weddle,Joshua Weddle,DEF,DEF,18.0,4,22.0,612.1293965760283,505.92327905411315,50.80218562298212,1293.9564996095417,81.69333333333333,6524.375751084988,0.006666666666666667,0.6283333333333333,0.32166666666666666,0.12,1.16,0.455,0.13833333333333334,145.0788180532087,145.40050851276945,0.035355736522596576,411.630797048969,0.01466459356586184,428.5279544064558
61,nate-caddy,Nate Caddy,FWD,FWD,10.0,3,21.0,610.1655076283969,515.2937219343185,63.724754428061814,1210.5001092267607,72.20333333333333,5411.71206749165,0.011666666666666667,0.45166666666666666,0.19833333333333333,0.055,0.6716666666666666,0.23833333333333334,0.06,113.6494696833313,149.34377997623807,0.0,356.81103974908643,0.0006342696807804885,423.3621051529036
62,jai-newcombe,Jai Newcombe,MID,MID,2.0,5,25.0,605.526212723821,526.0135785209222,43.11003191179025,1295.6949849647674,75.73,6171.426273469839,0.0033333333333333335,0.66,0.36833333333333335,0.115,1.3016666666666667,0.5366666666666666,0.135,229.38411924057726,146.59265555601272,0.5361076218867017,583.6288395998876,0.025870422551613825,393.66161823859363
63,lawson-humphries,Lawson Humphries,DEF,DEF,63.0,3,23.0,600.2477534121595,499.100089767693,45.906144420706184,1266.6860370091986,81.485,6458.10844456688,0.0033333333333333335,0.6216666666666667,0.32666666666666666,0.11666666666666667,1.1016666666666666,0.4266666666666667,0.12833333333333333,159.46323786527938,149.2366929088447,0.10793876190266388,457.2893495334775,0.013581665324462333,417.81070291087383
64,sam-walsh,Sam Walsh,MID,MID,1.0,8,26.0,598.3640848388821,508.19921351822416,62.253013584523,1218.928326804207,64.78666666666666,5365.175885293498,0.016666666666666666,0.6933333333333334,0.4,0.14833333333333334,1.21,0.5333333333333333,0.16833333333333333,243.30379538661964,170.5641719685532,0.0,599.4031966902495,0.0,472.9322593269556
65,clayton-oliver,Clayton Oliver,MID,MID,4.0,11,29.0,588.600328306941,498.15562870565475,71.9053114167227,1209.3627180155495,61.735,5057.531864761153,0.005,0.7033333333333334,0.43666666666666665,0.17,1.1683333333333332,0.5616666666666666,0.18666666666666668,293.8740070118039,169.95887744677,1.4044237344133415,666.1473185373833,0.008991033691419535,489.13135615637503
66,jacob-farrow,Jacob Farrow,DEF,DEF,10.0,1,19.0,585.75864310308,493.05951599823175,32.12595450860092,1241.5115978835327,81.46166666666667,6502.664045750074,0.011666666666666667,0.615,0.355,0.15166666666666667,1.14,0.49833333333333335,0.16833333333333333,81.34765134354741,118.99681812371452,0.002370500825881706,278.5672546930499,0.0017490159863870686,369.10679125945813
67,ed-richards,Ed Richards,MID,MID,16.0,9,27.0,580.0510071041675,493.7166342846674,59.56696087300161,1189.2901461523659,67.09166666666667,5458.98013976184,0.01,0.6983333333333334,0.3933333333333333,0.14666666666666667,1.1916666666666667,0.5333333333333333,0.165,254.76172442637025,162.05360703915156,0.7360491622628845,598.9326510440434,3.18698382145935e-05,459.4365208705412
68,sam-darcy,Sam Darcy,FWD,FWD,2.0,5,23.0,573.4337884933763,511.1352811270476,61.649620655905885,1159.1125843902933,59.64333333333333,4539.210684608511,0.041666666666666664,0.44666666666666666,0.20666666666666667,0.056666666666666664,0.655,0.24666666666666667,0.058333333333333334,177.3308011921507,143.17982624084462,0.0,482.1725770790058,0.0,450.81633812169036
69,paul-curtis,Paul Curtis,FWD,FWD,35.0,5,23.0,565.2829906610307,475.3046927656742,47.210441996321386,1156.0590316999846,70.29166666666667,5182.528964782073,0.018333333333333333,0.4083333333333333,0.16666666666666666,0.03,0.5833333333333334,0.205,0.03333333333333333,146.59333605310928,155.82665530360498,0.0,430.43416575707914,0.0,435.66388963876625
