lead,origin_year,slice_type,slice_value,n,actual_meaningful_rate,isotonic_delta_mean,origin,p_meaningful_raw_mean,p_meaningful_raw_bias,p_meaningful_raw_brier,p_meaningful_raw_log_loss,p_meaningful_raw_auc,p_meaningful_mean,p_meaningful_bias,p_meaningful_brier,p_meaningful_log_loss,p_meaningful_auc
2,2021,age_band,24-26,161,0.7391304347826086,-0.0034446209985594667,raw_classifier_underpredicts,0.5837615617470114,-0.1553688730355972,0.17945372073460614,0.5450077080408846,0.8161264505802321,0.580316940748452,-0.15881349403415668,0.1772556656900277,0.5489674106307455,0.8166266506602641
2,2021,prior_games,zero prior games,91,0.12087912087912088,0.009362194347434682,no_material_probability_underprediction,0.23056355343919158,0.1096844325600707,0.1206712191519987,0.39137481574507466,0.6727272727272727,0.23992574778662626,0.11904662690750538,0.12051042294409237,0.3908547287863757,0.6784090909090909
2,2022,age_band,24-26,182,0.6703296703296703,0.0025854571414420935,raw_classifier_underpredicts,0.6025119879914139,-0.06781768233825636,0.16190549411605312,0.5089330450855252,0.8270491803278688,0.605097445132856,-0.06523222519681426,0.1630688699696322,0.5202847843626093,0.8268442622950819
2,2022,prior_games,zero prior games,97,0.24742268041237114,0.016817675312286506,raw_classifier_underpredicts,0.1929340502954129,-0.05448863011695823,0.18030843819537307,0.5357361368879895,0.658390410958904,0.20975172560769942,-0.037670954804671725,0.17745177783591487,0.5242066615013292,0.661244292237443
2,2023,age_band,24-26,185,0.6648648648648648,0.02312348469283798,raw_classifier_underpredicts,0.6054774859881228,-0.05938737887674206,0.1647561736561004,0.49393971648793317,0.8224495148177288,0.6286009706809608,-0.03626389418390408,0.1622402930132694,0.4847102932361516,0.8198924731182795
2,2023,prior_games,zero prior games,100,0.19,0.055531613142880826,raw_classifier_underpredicts,0.17142396661376177,-0.018576033386238228,0.15310223680844345,0.47981009533010527,0.599090318388564,0.2269555797566426,0.0369555797566426,0.15503484373801033,0.48194719611363296,0.5942170240415855
3,2018,age_band,24-26,174,0.6264367816091954,0.02581376431514948,raw_classifier_underpredicts,0.4138438247573509,-0.21259295685184448,0.20259823660916512,0.6121035593660484,0.8589978828510938,0.43965758907250035,-0.186779192536695,0.1903274991841834,0.5800659328365613,0.8531404375441072
3,2018,prior_games,zero prior games,96,0.2708333333333333,0.056919545701337115,raw_classifier_underpredicts,0.20116729051439408,-0.06966604281893923,0.20104617557221682,0.5989105028031546,0.5901098901098901,0.2580868362157312,-0.012746497117602118,0.1981204897722656,0.5867491502831548,0.5868131868131868
3,2018,tenure_band,4-5,137,0.5693430656934306,0.025085232949165204,raw_classifier_underpredicts,0.512813449145081,-0.05652961654834965,0.18305944998580923,0.5431526272360018,0.8068231203824424,0.5378986820942462,-0.031444383599184444,0.1796687261024343,0.5371284425003396,0.8049760973489787
3,2019,age_band,24-26,174,0.6436781609195402,0.0066055090130578975,raw_classifier_underpredicts,0.4998001959895192,-0.14387796493002103,0.17441238987851893,0.5281970997203366,0.8495103686635944,0.5064057050025771,-0.13727245591696313,0.16930447237964782,0.5114354739730516,0.8508064516129032
3,2019,prior_games,zero prior games,125,0.288,0.03118415291386384,raw_classifier_underpredicts,0.22261666741692038,-0.0653833325830796,0.2224451740371986,0.651776636854282,0.5402621722846441,0.2538008203307842,-0.03419917966921576,0.22528873951710987,0.6522676362238572,0.5388576779026217
3,2019,tenure_band,4-5,146,0.6095890410958904,0.012615416224655673,raw_classifier_underpredicts,0.4761718691182554,-0.13341717197763503,0.20153489907702518,0.6352391740736258,0.7969643209146462,0.48878728534291105,-0.12080175575297936,0.19630576134640773,0.6175166505879627,0.8001182732111177
3,2020,age_band,24-26,171,0.5847953216374269,0.03598259143914734,raw_classifier_underpredicts,0.4406613225789832,-0.14413399905844365,0.21074803783157306,0.6143773205464129,0.7940845070422535,0.47664391401813055,-0.10815140761929631,0.1985654499923636,0.5865910490146946,0.7933098591549297
3,2020,prior_games,zero prior games,106,0.18867924528301888,0.036426673668236015,isotonic_moves_up,0.19191273732557712,0.003233492042558239,0.141760319768958,0.46565787993264796,0.6430232558139535,0.22833941099381314,0.039660165710794254,0.14846717797974762,0.482166276507612,0.6375
3,2020,tenure_band,4-5,157,0.6751592356687898,0.03580284237717185,raw_classifier_underpredicts,0.4575895383402461,-0.21756969732854364,0.19695463654479164,0.6052330651712364,0.8547909729929708,0.493392380717418,-0.1817668549513718,0.1771604389529246,0.5694117326500615,0.8556233814280428
3,2021,age_band,24-26,161,0.6459627329192547,-0.03362092845492093,raw_classifier_underpredicts,0.5602479569348857,-0.08571477598436894,0.1694369218403674,0.5278345932312296,0.823549257759784,0.5266270284799648,-0.11933570443928987,0.1727872810204511,0.5460461778582579,0.82667004048583
3,2021,prior_games,zero prior games,91,0.17582417582417584,0.0014541175781536964,no_material_probability_underprediction,0.23102478984464647,0.055200614020470634,0.13930919947467088,0.4327721491334344,0.6987500000000001,0.23247890742280017,0.05665473159862433,0.13876800593262903,0.43163532967488943,0.69625
3,2021,tenure_band,4-5,148,0.668918918918919,-0.03271563870739458,raw_classifier_underpredicts,0.5592601016433841,-0.10965881727553484,0.18292005575887652,0.5558760727443637,0.8122036693465264,0.5265444629359896,-0.14237445598292942,0.18651726781307756,0.5766378746136064,0.8125128839414553
3,2022,age_band,24-26,182,0.6373626373626373,-0.030320379692580612,raw_classifier_underpredicts,0.575445306523163,-0.06191733083947437,0.1766625543424006,0.5447206569798412,0.8085161964472309,0.5451249268305823,-0.09223771053205498,0.17946093040087804,0.5483197196107056,0.8081243469174504
3,2022,prior_games,zero prior games,97,0.20618556701030927,0.020558161532581942,isotonic_moves_up,0.2076664889519649,0.0014809219416556385,0.14967224493977654,0.4569753104881089,0.7201298701298701,0.22822465048454685,0.02203908347423758,0.14865267606827204,0.45555501623684985,0.7350649350649351
3,2022,tenure_band,4-5,146,0.5821917808219178,-0.021755891090983415,raw_classifier_underpredicts,0.5606316840033276,-0.02156009681859017,0.2096588460673865,0.635133280285387,0.7618129218900676,0.5388757929123442,-0.04331598790957358,0.2087121635211326,0.6211283244744947,0.7531340405014464
4,2018,age_band,21-23,222,0.5405405405405406,0.014376527042006149,raw_classifier_underpredicts,0.4571458601029202,-0.08339468043762038,0.18799688250848084,0.5775152401143734,0.8022875816993464,0.47152238714492634,-0.06901815339561423,0.18620753785940364,0.5915239499344895,0.8029820261437909
4,2018,age_band,24-26,174,0.5459770114942529,0.009910239583790947,raw_classifier_underpredicts,0.397202889911485,-0.14877412158276793,0.1938830835329304,0.5842238542905098,0.8362425049966689,0.40711312949527595,-0.13886388199897698,0.18737384401649873,0.5662444832535956,0.8379746835443038
